text,ipa
ব ি এ ন প ি ।,b i ͡ e ̯ n p i ।
এ স ড ি জ ি র,e ʃ o d i ɟ i ɾ
"ব ে ল ্ ট ,","b e l t ,"
ক ল ে জ ও ।,k ɔ l e ɟ o ।
অ স ্ ব ী ক া র,ɔ ʃ ʃ i k ɐ ɾ
হ য় ে ছ ি ল ে ন,h o ʲ e c ʰ i l e n
ল া ই ব ্ র ে র ি,l ɐ ͡ i ̯ b ɾ e ɾ i
প র ন ে র,p ɔ ɾ o n e ɾ
শ া ম ী ম ে র,ʃ ɐ m i m e ɾ
ন ব ন ি র ্ ম ি ত,n ɔ b o n i ɾ m i t ̪ o
হ চ ্ ছ ি,h o c c ʰ i
ব ং শ গ ত ।,b ɔ ŋ ʃ o g ɔ t ̪ ।
স ম র ্ থ ক র া ।,ʃ ɔ m o ɾ t ̪ ʰ o k ɔ ɾ ɐ ।
"শ ি ক ্ ষ া র ্ থ ী ,","ʃ i k k ʰ ɐ ɾ t ̪ ʰ i ,"
স ম ্ প া দ ন ে র,ʃ ɔ m p ɐ d ̪ o n e ɾ
র ত ন প ু র স ্ থ,ɾ ɔ t ̪ o n p u ɾ o s t ̪ ʰ o
ব ন ্ দ ি ক ে,b o n d ̪ i k e
ন ি শ ্ চ ি ত ।,n i ʃ c i t ̪ o ।
খ ত ি ব,k ʰ o t ̪ i b
দ চ ্ ছ ে ।,d ̪ ɔ c c ʰ e ।
স ্ ট ে ড ি য় া ম ে ।,s t e d i ʲ ɐ m e ।
শ া স ন ট া,ʃ ɐ ʃ o n t ɐ
ট া উ ন,t ɐ ͡ u ̯ n
ক া র খ া ন া,k ɐ ɾ k ʰ ɐ n ɐ
ঘ র ব া ড় ি ক ে,g ʱ ɔ ɾ b ɐ ɽ i k e
স ু চ া র ু ভ া ব ে,ʃ u c ɐ ɾ u b ʱ ɐ b e
"প া র ি ,","p ɐ ɾ i ,"
ই উ ন ি য় ন ব া স ী,i ͡ u ̯ n i ʲ o n b ɐ ʃ i
আ ল ভ ো র া দ া,ɐ ͡ o ̯ b ʱ o ɾ ɐ d ̪ ɐ
ই ট স,i t ʃ
হ া ই স ্ ক ু ল,h ɐ ͡ i ̯ s k u l
দ ে ব ে ন ্ দ ্ র,d ̪ e b e n d ̪ ɾ o
দ ে খ ল ে ও,d ̪ e k ʰ l e ͡ o ̯
ম া ন ি য় ে,m ɐ n i ʲ e
ম ী র গ ঞ ্ জ,m i ɾ o g ɔ n ɟ
ভ া ং চ ু র স হ,b ʱ ɐ ŋ c u ɾ ʃ ɔ h o
ফ ে ব ্ র ু য় া র ি ত ে,p ʰ e b ɾ u ʷ ɐ ɾ i t ̪ e
গ ্ র ু প ে ।,g ɾ u p e ।
আ ব ে দ ী ন স হ,ɐ b e d ̪ i n ʃ ɔ h o
দ ্ ব ী প গ ু ল ো ত ে,d ̪ i p g u l o t ̪ e
ত া র প র ে ও,t ̪ ɐ ɾ p ɔ ɾ e ͡ o ̯
ধ ম ক প া ড় া র,d ̪ ʱ ɔ m o k p ɐ ɽ ɐ ɾ
ব ু ঝ ে ন ি ;,b u ɟ ʱ e n i ;
আ গ ে র,ɐ g e ɾ
অ ব স ্ থ া ন র ত,ɔ b o s t ̪ ʰ ɐ n ɾ ɔ t ̪ o
ড া ম ্ প ি ং য় ে র,d ɐ m p i ŋ ʲ e ɾ
স ্ থ া ব র - অ স ্ থ া ব র,s t ̪ ʰ ɐ b ɔ ɾ - ɔ s t ̪ ʰ ɐ b ɔ ɾ
স ং স ্ ক ৃ ত ি ।,ʃ ɔ ŋ s k ɾ i t ̪ i ।
প র ি চ য় দ া ন ক া র ী,p o ɾ i c ɔ ʲ d ̪ ɐ n k ɐ ɾ i
ম ু র া দ ন গ র,m u ɾ ɐ d ̪ o n g ɔ ɾ
ব া স ভ ব ন ে ।,b ɐ ʃ b ʱ b o n e ।
ব র ু ণ,b o ɾ u n
ট ে স ্ ট ও,t e s t o
আ র ে ক জ ন ক ে,ɐ ɾ e k ɟ ɔ n k e
য ত ্ ন,ɟ ɔ t ̪ n o
প ড় ব ে ।,p o ɽ b e ।
অ ন ্ য স ব,ɔ n n o ʃ ɔ b
ফ া ত ে ম া ।,p ʰ ɐ t ̪ e m ɐ ।
স ু শ া স ন ই,ʃ u ʃ ɐ ʃ o n i
ব া গ দ া দ ি ।,b ɐ g d ̪ ɐ d ̪ i ।
প ূ র ্ ব দ া প ু ন ি য় া য়,p u ɾ b o d ̪ ɐ p u n i ʲ ɐ ʲ
দ ূ ত া ব া স ে র,d ̪ u t ̪ ɐ b ɐ ʃ e ɾ
‘ আ ম র া,‘ ɐ m ɾ ɐ
জ া ল ে র,ɟ ɐ l e ɾ
হ ে া স ে ন,h e ͡ ɐ ̯ ʃ e n
স ি স ল ি,ʃ i s l i
স ্ ব া র ্ থ া ণ ্ ব ে ষ ী,ʃ ɐ ɾ t ̪ ʰ ɐ n ʃ e ʃ i
ব ি শ ্ ব ব ি দ ্ য া ল য় গ ু ল ো ক ে,b i ʃ ʃ o b i d ̪ d ̪ ɐ l ɔ ʲ g u l o k e
প ্ র ে ম ি ক ে র,p ɾ e m i k e ɾ
ত ি ল ্ ল ী,t ̪ i l l i
প ি ক আ প,p i k ɐ p
ই ভ ে ন ্ ট ে,i b ʱ e n t e
হ ু শ ি য় া র ি,h u ʃ i ʲ ɐ ɾ i
আ র ে ক জ ন,ɐ ɾ e k ɟ ɔ n
ক ্ ল ি ন া র,k l i n ɐ ɾ
ফ ু ট ে জ ও,p ʰ u t e ɟ o
চ ি হ ্ ন ি ত ;,c i n h i t ̪ o ;
ভ ু ক ্ ত ভ ো গ ী ক ে,b ʱ u k t ̪ o b ʱ o g i k e
প ্ র া থ ম ি ক,p ɾ ɐ t ̪ ʰ o m i k
দ ম া ন ো,d ̪ ɔ m ɐ n o
ব া গ া ন ।,b ɐ g ɐ n ।
অ ্ য া ও য় া র ্ ড ে,ɛ ͡ ɛ ̯ ͡ o ̯ ʷ ɐ ɾ d e
স র ্ ব ব ৃ হ ৎ,ʃ ɔ ɾ b o b ɾ i h ɔ t ̪
প ্ র ণ য় ন ে,p ɾ o n o ʲ o n e
ম হ া ল য় া,m ɔ h ɐ l ɔ ʲ ɐ
প ু র ে,p u ɾ e
ত ি ন - চ া র,t ̪ i n - c ɐ ɾ
ক র ্ ম শ া ল া ।,k ɔ ɾ m o ʃ k l ɐ ।
প ্ র শ ম ন,p ɾ o ʃ o m o n
ই ম া ম ।,i m ɐ m ।
অ র ্ থ ব ছ র ে ও,ɔ ɾ t ̪ ʰ o b ɔ c ʰ o ɾ e ͡ o ̯
ছ ি ল -,c ʰ i l o -
উ ই ক ে ট শ ূ ন ্ য ।,u ͡ i ̯ k e t ʃ u n n o ।
ট ্ র ু ল ি চ া প া য়,t ɾ u l i c ɐ p ɐ ʲ
খ ব র া,k ʰ ɔ b o ɾ ɐ
ই উ ন ি য় ন ভ ু ক ্ ত,i ͡ u ̯ n i ʲ o n b ʱ u k t ̪ o
ই উ ন ি য় ে র,i ͡ u ̯ n i ʲ e ɾ
ছ া য় া ন ট ে র,c ʰ ɐ ʲ ɐ n t e ɾ
প া ন ি র ক ল,p ɐ n i ɾ ɔ k ɔ l
ঢ া ক া - গ ো প া ল গ ঞ ্ জ,d ʱ ɐ k ɐ - g o p ɐ l g ɔ n ɟ
ম ু ল ি,m u l i
স া হ া য ্ য ক া র ী,ʃ ɐ h ɐ ɟ ɟ o k ɐ ɾ i
অ ্ য া ড ম ি ন,ɛ ͡ ɛ ̯ d m i n
শ ি ক ্ ষ া প ্ র ত ি ষ ্ ঠ া ন ে,ʃ i k k ʰ ɐ p ɾ o t ̪ i ʃ t ʰ ɐ n e
চ া ক র ি ক ্ ষ ে ত ্ র ে র,c ɐ k ɾ i k k ʰ e t ̪ ɾ e ɾ
ম হ ল ে ।,m ɔ h o l e ।
ন া গ া ও ক া র,n ɐ g ɐ ͡ o ̯ k ɐ ɾ
স া জ ঘ র,ʃ ɐ ɟ g ʱ ɔ ɾ
ফ জ ল,p ʰ ɔ ɟ o l
"ক ম ি শ ন ,","k ɔ m i ʃ o n ,"
থ া ক ছ ে ।,t ̪ ʰ ɐ k c ʰ e ।
স ে ট ি র,ʃ e t i ɾ
প ্ র য় া স ে,p ɾ o ʲ ɐ ʃ e
এ হ স া ন,e h o s ɐ n
ক ব ী র,k o b i ɾ
ক ে ম ি ক ্ য া ল,k e m i k ɛ l
জ া ম া ল ক ে,ɟ ɐ m ɐ l k e
ন ী ন া,n i n ɐ
শ ্ ম শ া ন,ʃ ɔ ʃ ɐ n
"ত া ক া ল ,","t ̪ ɐ k ɐ l ,"
ত া ন স ে ন ে র,t ̪ ɐ n ʃ e n e ɾ
স ি ম া হ ী ন,ʃ i m ɐ h i n
উ চ ্ চ ম া ধ ্ য ম ি ক,u c c o m ɐ d ̪ d ̪ ʱ o m i k
ন ি চ ্ ছ ে ন ।,n i c c ʰ e n ।
প ো ড় া খ া ল ী,p o ɽ ɐ k ʰ ɐ l i
আ ব ্ ব া স,ɐ b b ɐ ʃ
ল ঙ ্ ঘ ন ।,l ɔ ŋ g ʱ o n ।
আ ন া দ ল ু,ɐ n ɐ d ̪ l u
ব র ্ ধ ন,b ɔ ɾ d ̪ ʱ o n
জ ে ব ু ন ন ে ছ া,ɟ e b u n n e c ʰ ɐ
ব ্ য ব স ্ থ া প ন া ত ে ও,b ɛ b o s t ̪ ʰ ɐ p o n ɐ t ̪ e ͡ o ̯
ই ন স ু ল ি ন,i n o s u l i n
ক ন ্ ড ি শ ন ি ং,k ɔ n d i ʃ o n ʃ ɔ ŋ
"ক ো র ি য় া ,","k o ɾ i ʲ ɐ ,"
ল ে খ া ।,l e k ʰ ɐ ।
ব ্ য ব স া ও,b ɛ b ʃ ɐ ͡ o ̯
ম া,m ɐ
ন ্ য া ন ড ্ র ো ল ে ন,n ɛ n d ɾ o l e n
"আ ই প ি এ স ,","ɐ ͡ i ̯ p i ͡ e ̯ s ,"
আ র ্ জ ি ন া,ɐ ɾ ɟ i n ɐ
স ্ থ া প ন ে,s t ̪ ʰ ɐ p o n e
দ ল ট ি,d ̪ o l t i
ক র ে ন -,k ɔ ɾ e n -
ব া র ্ ষ ি ক,b ɐ ɾ ʃ i k
"চ া ঁ দ প ু র ,","c ɐ ̃ d ̪ p u ɾ ,"
এ জ ন ্ য,e ɟ o n n o
উ দ ্ ব ে গ ে র,u d ̪ b e g e ɾ
স ্ ব র ূ প ক া ঠ ি ত ে,ʃ ɔ ɾ u p k ɐ t ʰ i t ̪ e
শ ফ ি,ʃ o p ʰ i
' স ন ্ ত ্ র া স ী ',' ʃ ɔ n t ̪ ɾ ɐ ʃ i '
স হ প া ঠ ী,ʃ ɔ h o p ɐ t ʰ i
উ ৎ স র ্ গ,u t ̪ ʃ ɔ ɾ g o
প া ল ্ ট ে,p ɐ l t e
ক া র ফ ি উ,k ɐ ɾ p ʰ i ͡ u ̯
হ ো ব া র ্ ট ে,h o b ɐ ɾ t e
ট ্ র ে ড,t ɾ e d
ক ল ি ন স ে র,k o l i n ʃ e ɾ
ম ূ ল হ ো ত া ।,m u l h o t ̪ ɐ ।
র া জ ্ জ া ক ক ে,ɾ ɐ ɟ ɟ ɐ k k e
ম ু ন স ু র ।,m u n o ʃ u ɾ ।
অ ন ু ক ূ ল,o n u k u l o
ব া ব া ক ে,b ɐ b ɐ k e
ব া র ্ জ া র,b ɐ ɾ ɟ ɐ ɾ
হ য় ত ো,h ɔ ʲ t ̪ o
ত ে ম ন ট া,t ̪ e m o n t ɐ
"ন র স ি ং দ ী ,","n ɔ ɾ o ʃ i ŋ d ̪ i ,"
ক থ া ট ি ই,k ɔ t ̪ ʰ ɐ t i ͡ i ̯
প য় ে ন ্ ট ।,p ɔ ʲ e n t ।
গ ো ম ে জ,g o m e ɟ
ম ু র ্ ত জ া,m u ɾ t ̪ o ɟ ɐ
ম ে র া,m e ɾ ɐ
প ু ত ু ল ে র,p u t ̪ u l e ɾ
শ া স ন ভ া র,ʃ ɐ ʃ o n b ʱ ɐ ɾ
ক ্ ল জ,k l ɔ ɟ
ন ে ট,n e t
স ে ভ,ʃ e b ʱ
আ ম ি র া ব া গ,ɐ m i ɾ ɐ b ɐ g
উ ক ি ল প া ড় া,u k i l p ɐ ɽ ɐ
চ ে য় া র - ট ে ব ি ল ও,c e ʲ ɐ ɾ - t e b i l o
অ ক ্ ট ো ব র ে,ɔ k t o b ɔ ɾ e
ক ন ্ ট ্ র া ক ্ ট র ি,k o n t ɾ ɐ k d o ɾ i
শ া স ্ ত ি,ʃ ɐ s t ̪ i
প র ি দ র ্ শ ন ক া ল ে,p o ɾ i d ̪ ɔ ɾ ʃ o n k ɐ l e
য া ত া য় ে ত,ɟ ɐ t ̪ ɐ ʲ e t ̪
ন গ র ব া থ া ন,n ɔ g o ɾ ɔ b ɐ t ̪ ʰ ɐ n
ম া দ ্ র া স া য়,m ɐ d ̪ ɾ ɐ ʃ ɐ ʲ
চ ি ঠ ি র,c i t ʰ i ɾ
ম ি ছ ি ল ক া র ী র া,m i c ʰ i l o k ɐ ɾ i ɾ ɐ
স ে ট া ও,ʃ e t ɐ ͡ o ̯
ট ্ র ল ি,t ɾ o l i
হ ে ড ম ্ য া ন ে র,h e d m ɛ n e ɾ
স ে ল ে ক া ও দ ে র,ʃ e l e k ɐ ͡ o ̯ d ̪ e ɾ
ই র ফ া ন,i ɾ p ʰ ɐ n
ন ি র ্ দ ে শ ে,n i ɾ d ̪ e ʃ e
স ম ্ ম ত ি প ত ্ র ে র,ʃ ɔ m m o t ̪ i p ɔ t ̪ ɾ e ɾ
ক ৃ ষ ি ক া জ ে র,k ɾ i ʃ i k ɐ ɟ e ɾ
উ ল ্ ল া হ র,u l l ɐ h o ɾ
শ ি ক ্ ষ ি ক া ও,ʃ i k k ʰ i k ɐ ͡ o ̯
ল ি খ ।,l i k ʰ ।
ভ ন ।,b ʱ ɔ n ।
স ো ন ম,ʃ o n o m
প ে র ে ।,p e ɾ e ।
ক ন ে র,k o n e ɾ
ক ু ন ক ু ন ি য় া,k u n k u n i ʲ ɐ
"জ ু গ ি য় ে ছ ে ন ,","ɟ u g i ʲ e c ʰ e n ,"
আ ল ু প ট ্ ট ি ত ে,ɐ l u p ɔ t t i t ̪ e
ব ু র ্ জ,b u ɾ ɟ o
ফ ি ল ্ ম ে র,p ʰ i l m e ɾ
ন ব জ ্ য ো ত ি,n ɔ b o ɟ ɟ o t ̪ i
ভ র,b ʱ ɔ ɾ
ব ন ্ ড গ ু ল ো,b o n d g u l o
স ্ থ া ন ী য় র া,s t ̪ ʰ ɐ n i ʲ o ɾ ɐ
এ ন ্ ট ি,e n t i
ম ঙ ্ গ ল ব া র ।,m o ŋ g o l b ɐ ɾ ।
স ন ্ ট ু ।,ʃ ɔ n t u ।
দ ি য় া ব া ড় ি,d ̪ i ʲ ɐ b ɐ ɽ i
আ ত ্ র া ই,ɐ t ̪ ɾ ɐ ͡ i ̯
য দ ি ও,ɟ o d ̪ i ͡ o ̯
ম ু জ া হ ি দ ু ল,m u ɟ ɐ h i d ̪ u l
স ে ভ া ব ে ই,ʃ e b ʱ ɐ b e ͡ i ̯
খ ু ন ী - ধ র ্ ষ ক দ ে র,k ʰ u n i - d ̪ ʱ ɔ ɾ ʃ o k d ̪ e ɾ
ভ ি ড ি ও ট ি ।,b ʱ i d i ͡ o ̯ t i ।
জ া ন ি য় ে ছ ি ল,ɟ ɐ n i ʲ e c ʰ i l o
ম ণ ্ ড ল,m ɔ n d o l
দ া ন ু র,d ̪ ɐ n u ɾ
ফ ি ও র ি ন া ক ে,p ʰ i ͡ o ̯ ɾ i n ɐ k e
ছ া ত ্ র দ ে র,c ʰ ɐ t ̪ ɾ o d ̪ e ɾ
জ ী ব ন য া প ন ে র,ɟ i b ɔ n ɟ ɐ p o n e ɾ
জ ি ম ্ ব া ব ু য় ে,ɟ i m b ɐ b u ʲ e
গ ণ ে শ,g ɔ n e ʃ
প ো ল া র ্ ড,p o l ɐ ɾ d
চ া ই - ই,c ɐ ͡ i ̯ - i
ক র ্ ম ক র ্ ত া র া ই,k ɔ ɾ m o k ɔ ɾ t ̪ ɐ ɾ ɐ ͡ i ̯
আ ই আ র এ ফ ে র,ɐ ͡ i ̯ ɐ ɾ e p ʰ e ɾ
ল া ল চ ি ত া র,l ɐ l c i t ̪ ɐ ɾ
খ া ঁ ট ি,k ʰ ɐ ̃ t i
ক া ঠ ম া ন ্ ড ু,k ɐ t ʰ m ɐ n d u
‘ স া ব ে ক,‘ ʃ ɐ b e k
স ে জ ন ্ য,ʃ e ɟ o n n o
ও য় া ন - ট ু - ও য় া ন ে,o ʷ ɐ n - t u - o ʷ ɐ n e
প ্ র স া র,p ɾ o ʃ ɐ ɾ
ব ি এ ম,b i ͡ e ̯ m
আ স ল,ɐ ʃ o l
জ ে ল া ব ্ য া প ী,ɟ e l ɐ b ɛ p i
স া ল ে ক ে র,s ɐ l e k e ɾ
থ া ক ত ো,t ̪ ʰ ɐ k t ̪ o
অ ধ ্ য া প ক ক ে ।,o d ̪ d ̪ ʱ ɐ p ɔ k k e ।
গ ো ল ম ু খ ে,g o l m u k ʰ e
য ো গ,ɟ o g
ও ভ া র ে,o b ʱ ɐ ɾ e
ড ি এ স স ি স ি র,d i ͡ e ̯ s ʃ i s i ɾ
প া ব ।,p ɐ b ।
স ি গ া র ে ট,ʃ i g ɐ ɾ e t
ন া ব ি ল,n ɐ b i l
হ ্ য া ন ্ ড স ে ট,h ɛ n d o ʃ e t
দ ি য ় ে ছ ি ল ।,d ̪ i ʲ e c ʰ i l o ।
ই ং ল ্ য া ন ্ ড ক ে,i ŋ l ɛ n d k e
ক র া ন ো র,k ɔ ɾ ɐ n o ɾ
স ্ ব া র ্ থ ে -,ʃ ɐ ɾ t ̪ ʰ e -
গ ো ল ট ি,g o l t i
গ য় ে শ ্ ব র,g ɔ ʲ e ʃ ʃ ɔ ɾ
ঘ ন ি য় ে,g ʱ o n i ʲ e
ম ে শ ি ন ে র,m e ʃ i n e ɾ
আ ল - ক ু দ স,ɐ l - k u d ̪ ʃ
আ ম ি ন প ু র,ɐ m i n p u ɾ
ই ন শ া হ,i n ʃ ɐ h o
ছ া য় ে দ ু র,c ʰ ɐ ʲ e d ̪ u ɾ
এ স ব ই,e ʃ ɔ b i
অ ধ ্ য া প ক ।,o d ̪ d ̪ ʱ ɐ p o k ।
ব ে গ ব ে দ া র,b e g o b e d ̪ ɐ ɾ
ন ি ন া ক া ব ্ য ত ে,n i n ɐ k ɐ b b o t ̪ e
গ ল ফ া র ও,g ɔ l p ʰ ɐ ɾ o
স া ই ত ু ল,s ɐ ͡ i ̯ t ̪ u l
র ি ম া র,ɾ i m ɐ ɾ
ধ র ম ন া থ,d ̪ ʱ ɔ ɾ m o n ɐ t ̪ ʰ
জ ব র দ খ ল ক া র ী র া,ɟ ɔ b o ɾ d ̪ k ʰ ɔ l k ɐ ɾ i ɾ ɐ
প র ি স ্ থ ি ত ি ট া,p o ɾ i s t ̪ ʰ i t ̪ i t ɐ
শ ে ষ ক ৃ ত ্ য,ʃ e ʃ k ɾ i t ̪ t ̪ o
অ স ম ্ ভ ব ।,ɔ ʃ ɔ m b ʱ ɔ b ।
প র ম ু হ ূ র ্ ত ে ই,p o ɾ m u h u ɾ t ̪ e ͡ i ̯
ম ো ক া র র ম,m o k ɐ ɾ o ɾ o m
হ া স ি ব,h ɐ ʃ i b
ড া য় া ব ে ট ি স ক ে,d ɐ ʲ ɐ b e t i s k e
প ৌ ল ী,p o ͡ u ̯ l i
ক ম ্ প ি উ ট া র ে,k ɔ m p i ͡ u ̯ t ɐ ɾ e
স া ন ি য় া র ই,ʃ ɐ n i ʲ ɐ ɾ i
দ ৌ ড় ে,d ̪ o ͡ u ̯ ɽ e
"অ ভ ি য া ন ,","o b ʱ i ɟ ɐ n ,"
ভ ি উ ত ে,b ʱ i ͡ u ̯ t ̪ e
প র ি দ র ্ শ ন ে,p o ɾ i d ̪ ɔ ɾ ʃ o n e
এ ন র ি ক ে ।,e n o ɾ i k e ।
প া ঠ গ ্ র হ ণ,p ɐ t ʰ g ɾ o h o n
প া ন ্ ড া ট ি ক ে,p ɐ n d ɐ t i k e
চ ন ্ দ ন ।,c ɔ n d ̪ o n ।
ক র া ট া ই,k ɔ ɾ ɐ t ɐ ͡ i ̯
উ ঁ ক ি,u ̃ k i
র ক ্ ত ে,ɾ ɔ k t ̪ e
ন ন !,n ɔ n !
ন ি ব া চ ি ত,n i b ɐ c i t ̪ o
ভ া ব ি,b ʱ ɐ b i
এ ক ক ে র,ɛ k o k e ɾ
ঠ ি ক ই,t ʰ i k i
ব ল ি ন ি ।,b o l i n i ।
প ্ র য ু ক ্ ত ি,p ɾ o ɟ u k t ̪ i
ম া ন ু ষ দ ে র,m ɐ n u ʃ d ̪ e ɾ
আ ক র া ম,ɐ k ɾ ɐ m
ড ে ভ ে ল প ম ে ন ্ ট,d e b ʱ e l p ɔ m e n t
গ া ম ছ া,g ɐ m c ʰ ɐ
ভ ি ড ি ও গ ু ল ো,b ʱ i d i ͡ o ̯ g u l o
প ্ র ত ি র ো ধ ে র,p ɾ o t ̪ i ɾ o d ̪ ʱ e ɾ
"ব ্ র ি গ ে ট ,","b ɾ i g e t ,"
ন ি র ্ ণ য় ে,n i ɾ n o ʲ e
"ক া জ ,","k ɐ ɟ ,"
ম ো জ া ম ্ ম ে ল,m o ɟ ɐ m m t ̪ ɔ l
"ক ম া ন ্ ড া র ,","k ɔ m ɐ n d ɐ ɾ ,"
প ্ র য ু ক ্ ত ি ম য়,p ɾ o ɟ u k t ̪ i m ɔ ʲ
স র ন ী,ʃ ɔ ɾ o n i
স া ই দ ু র ক ে,s ɐ ͡ i ̯ d ̪ u ɾ k e
শ র ্ ম ী ম া ল া ।,ʃ ɔ ɾ m i m ɐ l ɐ ।
প র ি ক ল ্ প ন া ম ন ্ ত ্ র ী,p o ɾ i k ɔ l p o n ɐ m ɔ n t ̪ ɾ i
স ি ং ।,ʃ i ŋ ।
ল ে ও য় া ন ড ো স ্ ক ি র ।,l e ͡ o ̯ ʷ ɐ n d o s k i ɾ ।
ছ া প া খ া ন া র,c ʰ ɐ p ɐ k ʰ ɐ n ɐ ɾ
ক ি র ন,k i ɾ o n
ল া ই ন ্ স,l ɐ ͡ i ̯ n s
প া ন ্ ড ি য় া,p ɐ n d i ʲ ɐ
শ ত া ব ্ দ ী ত ে,ʃ ɔ t ̪ ɐ b d ̪ i t ̪ e
ক া শ ফ ু ল ে র,k ɐ ʃ p ʰ u l e ɾ
র ি জ ু,ɾ i ɟ u
প ্ র ণ য় ন ে র,p ɾ o n o ʲ o n e ɾ
শ ত ্ র ু র া,ʃ o t ̪ ɾ u ɾ ɐ
ব া ঁ চ ত ে,b ɐ ̃ c t ̪ e
"প ্ র া প ্ ত ি ,","p ɾ ɐ p t ̪ i ,"
‘ ন ি য় ো গ,‘ n i ʲ o g
আ ন ো য় া র,ɐ n o ʷ ɐ ɾ
ম স জ ি দ - ম ন ্ দ ি র ে,m ɔ n o ɟ i d ̪ - m ɔ n d ̪ i ɾ e
ফ া উ ন ্ ড ে শ ন,p ʰ ɐ ͡ u ̯ n d e ʃ o n
প ি র ো জ প ু র,p i ɾ o ɟ p u ɾ
স ু প া র ি শ ট ি,ʃ u p ɐ ɾ i ʃ t i
ম ি শ ি গ া ন ে,m i ʃ i g ɐ n e
ক ্ ল া ব গ ু ল ো র,k l ɐ b g u l o ɾ
ব ু ড় ি,b u ɽ i
ন ও প া ড় া,n o p ɐ ɽ ɐ
"ব ু ক ,","b u k ,"
ঢ ল ে র,d ʱ ɔ l e ɾ
স র ে জ ম ি ন ে,ʃ ɔ ɾ e ɟ m i n e
ফ ে র ি ট ি র,p ʰ e ɾ i t i ɾ
ন া গ র প ু র ।,n ɐ g o ɾ p u ɾ ।
আ শ ি ক,ɐ ʃ i k
স া র ি ন ৌ ক া,ʃ ɐ ɾ i n o ͡ u ̯ k ɐ
ব ্ য া স া র ্ ধ,b ɛ ʃ ɐ ɾ d ̪ ʱ o
আ র এ ম প ি,ɐ ɾ o ͡ e ̯ m p i
জ ্ য া ক ে ট,ɟ ɛ k e t
ম া র ্ ক ে ট ে র,m ɐ ɾ k e t e ɾ
ম ি ড ি য় া ক ে,m i d i ʲ ɐ k e
ড ি গ ্ র ি,d i g ɾ i
ব ি জ ি ব ি র,b i ɟ i b i ɾ
আ ল ত া ফ ু ন ্ ন ে ছ া,ɐ l t ̪ ɐ p ʰ u n n e c ʰ ɐ
প থ,p ɔ t ̪ ʰ
প দ ্ ম ি ন ী ক ে,p ɔ d ̪ i n i k e
উ র ি ত ে,u ɾ i t ̪ e
ব া চ ্ চ া গ ু ল ো,b ɐ c c ɐ g u l o
গ ে র ি ল া,g e ɾ i l ɐ
জ া ন া ন - গ া জ ী প ু র,ɟ ɐ n ɐ n - g ɐ ɟ i p u ɾ
ফ ি ত র,p ʰ i t ̪ ɔ ɾ
হ া স ি ন া ।,h ɐ ʃ i n ɐ ।
ন ব া য় ন,n ɔ b ɐ ʲ o n
ব স ে ছ ে ।,b o ʃ e c ʰ e ।
ব ৃ ত ্ ত ে র,b ɾ i t ̪ t ̪ e ɾ
ড ি জ া ই ন,d i ɟ ɐ ͡ i ̯ n
হ ু গ ো,h u g o
আ ল ো চ ্ য,ɐ l o c c o
প র ি প ূ র ্ ণ ভ া ব ে,p o ɾ i p u ɾ n o b ʱ ɐ b e
অ ন ু প ্ র ব ে শ,ɔ n u p ɾ o b e ʃ
প ্ র ত ি ন ি ধ ি দ ে ল দ ু য় া র ে,p ɾ o t ̪ i n i d ̪ ʱ i d ̪ e l d ̪ u ʲ ɐ ɾ e
অ ব শ ্ য ম ্ ভ া ব ী ।,ɔ b o ʃ ʃ ɔ m b ʱ ɐ b i ।
র া জ গ ঞ ্ জ ে ।,ɾ ɐ ɟ g ɔ n ɟ e ।
ম া স ্ ট া র ে র,m ɐ s t ɐ ɾ e ɾ
চ ৌ ক ি দ া র ে র,c o ͡ u ̯ k i d ̪ ɐ ɾ e ɾ
র ে ড,ɾ e d
স া ল া উ দ ্ দ ি ন ।,s ɐ l ɐ ͡ u ̯ d ̪ d ̪ i n ।
ন থ ি প ত ্ র,n o t ̪ ʰ i p ɔ t ̪ ɾ o
অ ল স ভ া ব ে,ɔ l o ʃ b ʱ ɐ b e
দ ড় া ন ী প া ড় া,d ̪ ɔ ɽ ɐ n i p ɐ ɽ ɐ
আ শ ি স,ɐ ʃ i ʃ
অ ন ্ য া য ্ য,ɔ n n ɐ ɟ ɟ o
আ ল ত া ব - জ ল ি ল ে র,ɐ l t ̪ ɐ b o - ɟ o l i l e ɾ
ট ি ন ে র,t i n e ɾ
অ ত ি ক ্ র ম,o t ̪ i k ɾ o m
ম ি ট ি ং য় ে র,m i t i ŋ ʲ e ɾ
ফ ো ন ে,p ʰ o n e
শ ো ক া হ ত ।,ʃ o k ɐ h ɔ t ̪ o ।
দ ো ল া প া ড় া,d ̪ o l ɐ p ɐ ɽ ɐ
হ জ স ন ।,h ɔ ɟ o ʃ o n ।
ফ ে র া র ক ে,p ʰ e ɾ ɐ ɾ k e
য ে ক ো ন,ɟ e k o n
দ ে শ ে র ই,d ̪ e ʃ e ɾ i
ট ে ক ে ন ি ।,t e k e n i ।
ব ন ্ য,b o n n o
ক ্ ষ ো ভ ে র,k ʰ o b ʱ e ɾ
থ া ই ল ্ য া ন ্ ড,t ̪ ʰ ɐ ͡ i ̯ l ɛ n d
শ ৈ ল ্ প ি ক,ʃ o ͡ i ̯ l p i k
দ ি ক ে ।,d ̪ i k e ।
ব ি ব া হ ে র,b i b ɐ h e ɾ
